"SOMERSET HOUSE, STRAND",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,,
January,2.46,1.23,0.15,1.54,1.67,1.51,1.84,0.49,1.06,3.23,,
February,0.26,0.54,1.50,0.74,1.34,1.04,0.54,1.11,0.71,1.60,,
March,0.30,1.11,0.40,0.45,1.54,0.88,1.33,0.20,0.17,0.73,,
April,2.88,0.38,0.99,1.09,1.60,1.58,0.24,0.45,1.65,2.98,,
May,1.09,1.51,1.20,1.69,1.25,0.85,1.02,2.88,1.12,0.81,,
June,1.00,0.79,1.86,3.36,0.52,3.31,0.51,1.35,0.64,1.10,,
July,0.00,3.52,2.82,1.37,3.71,2.17,4.89,0.34,2.46,2.76,,
August,1.47,1.57,0.52,0.76,2.80,3.54,2.09,1.76,1.22,1.43,,
September,2.71,1.26,0.67,0.92,0.00,1.52,1.92,1.94,3.78,2.50,,
October,1.28,1.47,1.64,0.47,2.05,1.38,0.79,0.77,3.20,0.14,,
November,3.80,3.29,1.01,2.44,3.99,0.80,2.55,2.46,1.75,1.09,,
December,1.67,2.58,1.20,3.09,0.51,1.80,2.72,0.48,0.73,2.33,,
Total,18.93,19.20,13.95,17.92,20.97,20.40,20.43,14.21,18.48,20.71,,
Calc annual,18.92,19.26,13.95,17.92,20.97,20.40,20.43,14.21,18.48,20.71,,
Difference,0.00,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
