"CRAWLEY COTTAGE, EDINBURGH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,6.21,2.11,1.32,3.51,2.53,3.17,2.75,,,,,
February,2.58,1.18,1.89,2.05,3.04,1.01,3.25,,,,,
March,0.64,1.95,4.31,0.99,3.82,1.94,2.75,,,,,
April,0.35,1.86,0.00,2.66,0.81,1.20,2.93,,,,,
May,4.35,1.73,2.12,3.61,0.71,3.37,2.42,,,,,
June,3.11,2.54,1.76,2.17,3.89,4.41,4.54,,,,,
July,5.45,4.41,1.85,4.34,2.51,2.09,5.59,,,,,
August,2.51,5.50,1.86,2.44,2.25,5.43,5.30,,,,,
September,4.23,3.25,2.74,1.35,2.99,4.85,1.99,,,,,
October,2.25,6.66,1.56,5.23,1.79,4.64,3.84,,,,,
November,3.89,2.67,2.05,4.04,5.59,2.90,2.08,,,,,
December,1.14,4.65,4.22,0.95,0.20,4.53,1.02,,,,,
Total,36.71,38.51,25.68,33.34,30.13,39.54,38.46,,,,,
Calc annual,36.71,38.51,25.68,33.34,30.13,39.54,38.46,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
