"ROFS (THE GRAIG) HEREFORD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2217,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,,,,,,,,,1.45,,
February,,,,,,,,,,1.34,,
March,,,,,,,,,,1.61,,
April,,,,,,,,,,2.58,,
May,,,,,,,,,,1.80,,
June,,,,,,,,,,2.05,,
July,,,,,,,,,,1.70,,
August,,,,,,,,,,2.90,,
September,,,,,,,,,,3.33,,
October,,,,,,,,,,2.40,,
November,,,,,,,,,1.00,3.77,,
December,,,,,,,,,2.02,3.21,,
Total,,,,,,,,,,28.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02,28.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
