"BRIGHTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,1.02,2.61,3.08,3.23,1.84,,,,,,,
February,1.42,0.81,0.84,0.67,1.15,,,,,,,
March,0.18,3.26,0.24,1.27,0.14,,,,,,,
April,2.11,1.55,0.51,2.31,0.22,,,,,,,
May,1.96,0.48,1.85,1.39,3.11,,,,,,,
June,1.42,1.35,5.14,1.44,1.45,,,,,,,
July,3.96,2.87,0.39,2.29,1.51,,,,,,,
August,1.97,1.05,3.05,2.45,1.28,,,,,,,
September,1.79,0.16,4.01,1.72,1.36,,,,,,,
October,1.85,2.87,4.24,5.17,3.18,,,,,,,
November,3.06,0.91,5.17,0.91,,,,,,,,
December,1.97,0.49,3.28,0.40,,,,,,,,
Total,22.71,18.41,31.80,23.25,,,,,,,,
Calc annual,22.71,18.41,31.80,23.25,15.24,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
