"BETWEEN GLEN FINLAS & BEN LEDI",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5516,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,,,,6.60,4.70,,3.20,4.70,6.10,,
February,,,,,2.20,0.20,,3.30,0.00,3.80,,
March,,,,,3.30,3.70,,3.10,0.80,4.60,,
April,,,,,0.70,5.20,,4.60,3.50,3.10,,
May,,,,,6.00,3.90,,3.80,5.50,0.50,,
June,,,,,5.20,1.00,,3.80,4.50,0.50,,
July,,,,,2.80,4.40,,3.50,8.50,3.60,,
August,,,,,1.50,11.40,,4.40,4.90,6.10,,
September,,,,3.60,7.30,5.00,,3.70,5.50,8.40,,
October,,,,9.30,9.30,5.30,,5.60,6.60,3.60,,
November,,,,6.80,5.40,6.80,,3.80,3.30,5.50,,
December,,,,0.50,11.90,4.50,,5.50,7.40,2.20,,
Total,,,,,61.90,56.10,,48.30,55.20,48.00,,
Calc annual,0.00,0.00,0.00,20.20,62.20,56.10,0.00,48.30,55.20,48.00,,
Difference,NaN,NaN,NaN,NaN,-0.30,0.00,NaN,-0.00,0.00,0.00,,
