"HOVE NR BRIGHTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,2.38,1.15,4.36,3.80,2.92,3.63,2.64,,
February,,,,0.90,1.39,2.35,3.76,2.05,0.93,2.55,,
March,,,,1.01,3.36,1.22,1.66,2.50,1.26,1.87,,
April,,,,0.67,0.74,0.46,1.21,1.50,2.30,1.28,,
May,,,,1.95,1.37,3.33,0.67,2.39,1.51,4.18,,
June,,,,3.62,0.96,0.73,1.95,1.44,0.77,1.19,,
July,,,,1.44,,2.36,1.87,3.00,1.18,0.16,,
August,,,0.52,,,3.42,,,3.37,1.48,,
September,,,2.68,,3.36,0.30,7.63,,2.23,3.90,,
October,,,4.19,3.09,1.40,8.66,1.70,3.06,-999.00,1.85,,
November,,,0.90,1.67,4.12,2.55,2.03,1.86,1.28,2.50,,
December,,,2.71,2.50,0.24,2.53,2.20,1.53,6.75,3.13,,
Total,,,,,,32.26,,,28.08,26.73,,
Calc annual,0.00,0.00,11.00,19.23,18.09,32.27,28.48,22.25,25.21,26.73,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.01,NaN,NaN,2.87,0.00,,
