"ST.RUAN RECTORY, HELSTON, LIZARD, CORNWALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,,,,,
February,,,,,,,,,,2.68,,
March,,,,,,,,,,3.01,,
April,,,,,,,,,,0.87,,
May,,,,,,,,,,4.34,,
June,,,,,,,,,,0.51,,
July,,,,,,,,,,0.36,,
August,,,,,,,,,,0.69,,
September,,,,,,,,,,5.00,,
October,,,,,,,,,,2.35,,
November,,,,,,,,,,3.08,,
December,,,,,,,,,,4.45,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
