"WESTON UNDER LYZIARD SHIFNAL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,2.53,2.02,3.78,1.84,2.65,,
February,,,,,,1.49,2.18,1.48,2.05,1.77,,
March,,,,,,1.14,1.82,2.30,1.49,1.53,,
April,,,,,,1.13,0.53,2.34,1.53,1.62,,
May,,,,,,2.88,1.50,1.34,1.42,5.59,,
June,,,,,1.25,2.32,2.99,2.04,0.32,1.13,,
July,,,,,0.75,2.05,1.60,2.91,0.28,0.79,,
August,,,,,1.35,3.96,4.33,1.54,3.61,1.86,,
September,,,,,2.32,0.14,4.60,1.63,2.37,4.59,,
October,,,,,2.10,4.09,2.00,3.62,2.15,1.59,,
November,,,,,2.21,2.32,2.24,0.77,1.11,2.34,,
December,,,,,,1.00,1.60,2.33,5.77,3.08,,
Total,,,,,,25.05,27.41,26.08,23.94,28.54,,
Calc annual,0.00,0.00,0.00,0.00,9.98,25.05,27.41,26.08,23.94,28.54,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
