"OXTON SOUTHWELL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,0.76,2.08,0.57,1.23,1.20,3.04,1.97,2.49,,
February,,,0.75,0.42,1.69,1.66,1.91,1.70,2.65,2.45,,
March,,,2.74,0.37,1.78,0.56,0.99,2.12,1.82,3.02,,
April,,,0.96,1.04,1.10,0.61,1.30,2.78,1.04,1.61,,
May,,,2.77,0.62,2.06,3.43,1.25,3.02,1.35,5.53,,
June,,,1.94,2.40,0.79,1.51,2.79,2.14,0.41,1.08,,
July,,,1.66,1.08,0.26,3.51,2.84,3.18,0.20,0.61,,
August,,,1.50,2.41,1.38,3.88,3.40,2.23,4.08,1.31,,
September,,,3.81,2.07,2.39,0.19,4.29,2.29,2.32,4.73,,
October,,,2.06,2.38,1.95,4.80,3.58,2.29,3.07,1.25,,
November,,,0.28,1.81,2.68,2.01,2.06,0.77,1.03,1.78,,
December,,,1.22,1.13,1.35,0.60,1.85,1.53,6.79,3.99,,
Total,,,20.45,17.81,18.00,23.99,27.46,27.09,26.73,29.85,,
Calc annual,0.00,0.00,20.45,17.81,18.00,23.99,27.46,27.09,26.73,29.85,,
Difference,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
