"WEARDALE W.W. WASKERLEY 4 WASKERLEY PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,None,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,2.58,2.97,3.11,3.87,,
February,,,,,,,2.59,1.48,2.33,3.72,,
March,,,,,,,1.41,1.34,1.97,1.14,,
April,,,,,,,2.40,3.61,2.81,1.80,,
May,,,,,,,1.06,1.97,1.23,3.73,,
June,,,,,,,2.67,1.20,0.58,1.46,,
July,,,,,,,3.78,4.08,0.65,0.33,,
August,,,,,,,4.67,1.93,3.03,1.33,,
September,,,,,,,4.96,1.88,5.60,5.13,,
October,,,,,,,1.33,1.53,1.81,1.87,,
November,,,,,,,2.43,0.59,3.13,2.65,,
December,,,,,,,2.29,1.53,6.44,3.57,,
Total,,,,,,,32.17,24.11,32.69,30.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.17,24.11,32.69,30.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
