"BROUGHAM HALL WESTMORELAND",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR257,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,5.60,1.00,3.47,6.32,1.16,0.70,9.30,1.95,5.57,5.07,,
February,1.10,3.15,0.78,2.90,1.24,0.45,3.00,2.95,3.45,6.11,,
March,4.40,4.58,2.55,0.83,2.40,1.30,1.75,1.07,5.07,1.18,,
April,2.23,0.82,1.98,2.10,1.35,0.70,2.90,3.78,2.73,0.50,,
May,2.40,0.50,1.20,1.49,1.15,4.05,0.20,2.22,1.95,2.33,,
June,4.72,1.89,3.31,3.51,1.70,0.45,4.15,1.55,0.84,2.09,,
July,1.16,3.95,3.36,0.96,1.70,1.70,2.95,3.47,0.39,0.74,,
August,4.25,3.97,2.61,2.91,,4.01,3.90,1.57,4.16,1.34,,
September,0.72,5.62,1.85,5.38,3.08,0.48,6.15,3.22,1.13,6.64,,
October,4.57,2.71,6.38,4.20,3.70,4.33,1.96,3.00,3.08,3.31,,
November,2.17,6.55,1.20,2.60,3.65,3.53,4.09,1.59,1.56,4.61,,
December,4.48,2.70,5.10,2.85,1.85,3.18,4.36,1.88,8.62,5.29,,
Total,37.80,37.44,33.79,36.05,,24.88,44.71,28.25,38.55,39.21,,
Calc annual,37.80,37.44,33.79,36.05,22.98,24.88,44.71,28.25,38.55,39.21,,
Difference,0.00,-0.00,0.00,0.00,NaN,-0.00,0.00,0.00,0.00,0.00,,
