"HAMPSTEAD SQUIRES MOUNT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.40,1.79,3.48,2.34,1.34,3.21,0.95,4.68,1.31,2.26,,
February,1.18,1.33,0.85,1.28,1.10,1.03,2.07,1.80,1.48,3.81,,
March,2.09,1.12,2.37,1.54,0.62,0.77,2.55,2.41,0.76,1.49,,
April,0.53,3.12,1.57,0.56,1.33,1.50,1.83,2.66,4.42,2.73,,
May,0.85,1.09,3.27,1.73,1.08,1.62,0.81,2.14,4.02,3.75,,
June,0.77,2.48,2.30,2.24,2.11,2.27,1.70,0.73,3.23,5.00,,
July,1.52,3.90,2.61,1.99,1.11,4.67,0.85,3.80,0.87,4.90,,
August,1.97,0.89,2.22,3.06,1.77,0.98,2.02,3.67,6.23,5.30,,
September,2.15,4.83,1.54,3.03,3.02,2.36,3.17,1.13,1.28,3.21,,
October,3.50,1.25,5.52,3.20,3.64,3.94,1.19,2.04,2.06,0.84,,
November,1.36,0.52,3.55,1.95,2.24,3.03,2.88,3.66,2.99,0.42,,
December,2.80,1.15,4.31,0.60,1.65,1.05,6.60,1.63,1.38,0.89,,
Total,20.12,23.47,33.59,23.52,21.01,26.43,26.62,30.35,30.03,34.60,,
Calc annual,20.12,23.47,33.59,23.52,21.01,26.43,26.62,30.35,30.03,34.60,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
