"STAMFORD HILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.43,1.91,3.36,2.42,,,,,,,,
February,1.01,1.35,0.88,1.69,,,,,,,,
March,1.85,1.36,2.77,1.67,,,,,,,,
April,0.40,2.80,-999.00,0.74,,,,,,,,
May,0.83,0.67,2.93,1.14,,,,,,,,
June,0.63,3.07,2.14,2.14,,,,,,,,
July,1.12,3.59,2.71,1.59,,,,,,,,
August,2.66,0.82,3.00,2.32,,,,,,,,
September,2.15,5.20,1.45,2.41,,,,,,,,
October,3.48,1.25,4.69,2.87,,,,,,,,
November,1.65,0.57,2.93,1.87,,,,,,,,
December,3.18,1.15,4.80,0.43,,,,,,,,
Total,20.39,23.74,33.17,21.29,,,,,,,,
Calc annual,20.39,23.74,31.66,21.29,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,1.51,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
