"DOVER UNKNOWN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,5.47,1.47,2.05,,
February,,,,,,,,2.61,1.86,4.37,,
March,,,,,,,,2.90,2.11,0.59,,
April,,,,,,,,2.28,1.30,2.49,,
May,,,,,,,,2.42,2.31,2.22,,
June,,,,,,,,1.18,1.03,2.64,,
July,,,,,,,,2.07,0.65,3.20,,
August,,,,,,,,2.42,2.74,3.36,,
September,,,,,,,,1.70,0.66,2.67,,
October,,,,,,,,2.42,3.25,1.04,,
November,,,,,,,,5.92,5.20,0.61,,
December,,,,,,,,2.77,2.53,1.08,,
Total,,,,,,,,34.16,25.11,26.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.16,25.11,26.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
