"TERRINGTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,1.73,2.87,2.01,1.13,,
February,,,,,,,2.39,2.62,1.38,2.47,,
March,,,,,,,2.41,1.58,0.62,0.70,,
April,,,,,,,4.38,3.19,1.20,2.28,,
May,,,,,,,1.10,1.43,3.96,4.20,,
June,,,,,,,3.30,1.19,2.04,4.11,,
July,,,,,,,2.39,3.08,1.46,4.89,,
August,,,,,,,2.45,2.70,7.39,1.04,,
September,,,,,,,3.60,1.44,1.55,4.39,,
October,,,,,,,0.54,1.43,2.27,1.00,,
November,,,,,,,2.38,2.53,5.44,1.37,,
December,,,,,,,3.47,1.74,1.41,0.63,,
Total,,,,,,,30.14,25.80,30.73,28.21,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,30.14,25.80,30.73,28.21,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
