"BASINGSTOKE STRATHFIELDSAYE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.88,2.15,5.00,3.84,1.83,3.97,0.94,4.51,1.11,3.70,,
February,1.92,1.08,1.50,1.69,1.63,2.42,2.54,1.66,1.79,3.59,,
March,1.73,1.22,2.08,2.64,0.58,0.57,3.34,2.43,1.31,0.46,,
April,0.30,3.31,2.10,0.73,1.74,1.62,2.25,2.84,2.50,3.33,,
May,0.93,0.48,2.72,1.74,0.89,1.66,0.42,2.34,3.67,4.15,,
June,0.60,3.21,2.60,2.21,0.97,3.23,2.20,1.28,1.68,4.18,,
July,0.52,3.74,3.28,1.84,0.84,5.85,1.14,2.93,1.13,2.91,,
August,2.16,0.90,1.21,2.00,1.38,1.60,2.73,1.58,4.33,5.16,,
September,,4.04,1.36,2.96,3.49,1.78,3.97,1.31,0.89,3.42,,
October,,1.43,3.81,2.34,4.23,6.31,1.70,1.58,3.43,0.83,,
November,,0.35,2.99,2.35,3.20,3.93,4.43,4.71,4.38,0.82,,
December,,1.30,4.81,0.67,1.79,1.14,5.66,1.49,1.38,1.27,,
Total,,23.21,33.46,25.01,22.57,34.08,31.32,28.66,27.60,33.82,,
Calc annual,10.04,23.21,33.46,25.01,22.57,34.08,31.32,28.66,27.60,33.82,,
Difference,NaN,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
