"BURNHAM THE COLONY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,2.35,2.57,4.24,2.66,2.91,4.13,1.39,3.59,1.51,3.69,,
February,1.35,1.61,2.80,0.98,2.01,1.87,3.09,2.16,1.18,3.63,,
March,1.37,0.66,1.97,4.04,0.74,0.96,4.35,2.55,1.19,0.78,,
April,0.53,2.92,2.32,0.64,0.96,1.41,2.76,3.80,2.92,2.22,,
May,0.89,1.50,1.68,2.21,0.67,1.90,0.27,2.19,4.58,3.09,,
June,0.33,1.62,3.76,1.84,0.69,2.44,0.57,1.14,2.05,5.38,,
July,0.44,4.68,4.06,1.80,2.12,4.73,0.64,2.87,1.69,3.11,,
August,2.54,0.70,2.14,4.01,3.47,2.34,4.43,3.70,4.60,5.23,,
September,1.58,5.75,2.90,1.73,5.66,2.52,5.49,2.33,3.04,3.65,,
October,4.96,2.61,4.36,2.10,2.93,5.95,4.07,2.75,4.33,1.55,,
November,1.33,1.37,3.40,1.28,2.47,5.20,4.21,4.99,2.13,0.66,,
December,1.67,2.03,4.53,0.60,2.54,0.65,6.28,1.73,1.93,0.74,,
Total,19.34,28.02,38.16,23.89,27.17,34.10,37.55,33.80,31.15,33.73,,
Calc annual,19.34,28.02,38.16,23.89,27.17,34.10,37.55,33.80,31.15,33.73,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
