"CHESTERFIELD GRASSMOOR COLLIERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.46,0.86,3.50,2.83,1.77,2.50,0.79,3.26,1.77,1.43,,
February,1.56,1.76,2.76,0.68,1.50,1.12,2.60,1.42,1.25,2.97,,
March,2.07,0.99,2.27,2.37,1.07,0.99,2.86,1.58,0.52,1.10,,
April,0.48,2.62,3.21,0.88,2.01,0.83,1.65,2.40,1.30,1.82,,
May,0.90,1.42,2.35,2.18,1.14,1.40,0.69,3.00,4.64,2.81,,
June,0.70,4.24,4.55,1.42,0.73,2.65,2.37,2.16,2.67,5.10,,
July,0.73,3.88,5.68,1.77,1.33,3.25,1.24,2.59,0.62,2.93,,
August,1.19,1.64,3.05,2.73,2.55,3.82,1.62,4.59,6.20,3.63,,
September,1.29,4.96,3.70,1.62,2.17,2.56,3.87,2.63,1.63,2.31,,
October,5.30,2.58,4.71,2.71,3.40,4.06,2.39,1.84,3.13,0.85,,
November,1.97,1.11,3.69,2.32,2.08,2.96,2.47,3.10,2.15,1.58,,
December,2.46,1.32,4.29,0.25,2.20,0.98,5.18,2.32,1.96,1.20,,
Total,20.11,27.38,43.76,21.76,21.95,27.12,27.73,30.89,27.84,27.73,,
Calc annual,20.11,27.38,43.76,21.76,21.95,27.12,27.73,30.89,27.84,27.73,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
