"INGBIRCHWORTH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,5.63,3.64,2.26,4.27,1.13,,,,,
February,,,4.16,0.76,1.07,0.72,3.19,,,,,
March,,,2.59,3.30,3.74,0.43,5.33,,,,,
April,,,4.04,0.62,1.84,0.64,3.96,,,,,
May,,,2.72,2.35,1.43,1.82,0.96,,,,,
June,,,4.00,1.75,0.39,5.06,3.54,,,,,
July,,,7.24,2.27,1.68,5.85,2.18,,,,,
August,,,3.63,2.82,3.29,4.00,5.73,,,,,
September,,,6.10,2.83,2.93,6.35,5.26,,,,,
October,,,6.74,3.63,4.60,6.17,2.14,,,,,
November,,,5.75,2.77,2.91,5.96,4.43,,,,,
December,,,4.69,0.83,2.67,0.55,,,,,,
Total,,,57.29,27.57,28.81,41.82,,,,,,
Calc annual,0.00,0.00,57.29,27.57,28.81,41.82,37.85,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
