"RAUCEBY HALL GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,,,0.21,1.70,,
February,,,,,,,,,2.06,2.25,,
March,,,,,,,,,2.60,2.54,,
April,,,,,,,,,2.35,2.74,,
May,,,,,,,,,0.32,4.18,,
June,,,,,,,,,1.93,0.54,,
July,,,,,,,,,4.93,1.70,,
August,,,,,,,,,2.16,4.00,,
September,,,,,,,,,1.78,2.26,,
October,,,,,,,,,0.60,4.14,,
November,,,,,,,,,3.47,0.87,,
December,,,,,,,,,1.35,1.35,,
Total,,,,,,,,,23.76,28.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.76,28.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
