"SEATHWAITE VICARAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,,,,5.92,,
February,,,,,,,,,,4.86,,
March,,,,,,,,,,6.13,,
April,,,,,,,,,,4.41,,
May,,,,,,,,,,5.09,,
June,,,,,,,,,,1.38,,
July,,,,,,,,,,4.49,,
August,,,,,,,,,,9.41,,
September,,,,,,,,,,5.84,,
October,,,,,,,,,7.86,8.63,,
November,,,,,,,,,12.27,5.46,,
December,,,,,,,,,10.30,10.91,,
Total,,,,,,,,,,72.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.43,72.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
