"HORNSEY TOTTENHAM LANE FIRE STATION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,2.93,1.77,0.79,2.06,,,,
February,,,,,1.73,0.31,0.39,2.85,,,,
March,,,,,1.29,1.83,3.54,3.42,,,,
April,,,,,1.97,1.30,0.62,1.93,,,,
May,,,,,1.90,0.60,0.20,1.47,,,,
June,,,,,1.80,0.35,1.84,2.25,,,,
July,,,,,3.33,3.74,1.11,2.09,,,,
August,,,,,3.17,3.16,1.75,2.90,,,,
September,,,,,1.09,1.25,6.40,2.68,,,,
October,,,,,4.21,3.00,3.19,0.59,,,,
November,,,,,3.17,3.48,0.93,1.04,,,,
December,,,,,2.55,1.97,4.21,2.60,,,,
Total,,,,,29.14,22.76,24.97,25.88,,,,
Calc annual,0.00,0.00,0.00,0.00,29.14,22.76,24.97,25.88,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,NaN,NaN,,
