"THAME TYTHROP HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,2.37,0.54,1.36,,,,
February,,,,,,0.11,0.42,2.26,,,,
March,,,,,,1.72,2.62,2.69,,,,
April,,,,,,0.86,0.61,1.60,,,,
May,,,,,,0.48,0.24,0.99,,,,
June,,,,,,0.25,2.20,3.06,,,,
July,,,,,,2.83,0.45,0.27,,,,
August,,,,,,3.51,2.90,3.59,,,,
September,,,,,,1.29,5.45,2.24,,,,
October,,,,,,2.87,2.49,0.79,,,,
November,,,,,,3.78,0.99,0.98,,,,
December,,,,,,2.00,3.51,2.46,,,,
Total,,,,,,22.07,22.42,22.29,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.07,22.42,22.29,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,NaN,NaN,,
