"LOUGHTON HIGH BEECH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.45,1.81,0.54,1.52,2.64,1.40,0.48,1.77,0.75,2.18,,
February,1.01,0.01,1.43,2.76,1.65,0.06,0.37,2.28,0.97,1.82,,
March,1.52,1.22,1.06,0.42,0.93,1.36,2.84,3.59,0.97,0.56,,
April,1.36,0.86,0.86,0.09,1.64,1.35,0.69,1.34,1.29,2.39,,
May,1.78,3.39,1.50,0.67,1.40,0.21,0.20,1.57,2.35,1.05,,
June,3.87,1.18,2.36,0.72,1.83,0.28,2.48,2.17,1.18,1.32,,
July,5.02,2.91,1.83,2.30,3.01,3.37,1.60,0.79,0.86,1.63,,
August,3.87,4.42,3.15,1.66,2.77,1.96,2.02,2.96,1.15,0.61,,
September,0.65,0.97,2.48,0.67,1.16,1.01,5.64,2.37,0.39,2.78,,
October,1.52,5.21,3.56,3.08,3.65,2.43,3.17,0.64,3.21,2.30,,
November,2.46,2.26,2.23,1.93,2.60,2.85,1.09,0.97,1.46,4.22,,
December,0.46,3.55,1.45,2.08,2.12,2.24,3.16,2.43,2.25,1.32,,
Total,25.97,27.79,22.45,17.90,25.40,18.52,23.74,22.88,16.83,22.18,,
Calc annual,25.97,27.79,22.45,17.90,25.40,18.52,23.74,22.88,16.83,22.18,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
