"SHIFNAL NEACHLEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.87,1.84,2.77,1.99,2.10,3.73,1.05,1.85,1.18,3.38,,
February,0.66,0.12,1.77,2.86,2.38,0.28,0.70,2.74,1.83,2.63,,
March,1.42,1.41,0.97,0.48,1.46,1.81,2.86,2.14,0.85,0.93,,
April,0.91,1.85,1.24,0.35,2.17,1.94,1.52,2.10,2.01,2.63,,
May,2.04,4.13,2.35,2.66,2.36,0.61,0.43,1.33,3.48,2.34,,
June,1.99,2.51,3.63,1.99,2.81,1.83,1.61,3.19,1.08,3.37,,
July,2.31,1.76,1.70,2.16,2.86,2.36,1.66,1.13,1.06,1.53,,
August,3.55,4.00,2.48,1.74,2.41,2.01,2.44,3.65,3.19,1.12,,
September,1.01,1.97,3.19,1.71,1.23,0.63,3.20,2.62,0.58,4.01,,
October,1.71,5.59,3.07,2.03,2.44,2.68,2.72,1.43,2.57,2.26,,
November,4.87,2.03,2.22,1.66,2.66,3.05,1.45,2.23,1.79,1.74,,
December,0.90,3.30,2.27,3.40,2.25,1.71,3.53,2.60,2.49,2.46,,
Total,24.24,30.51,27.66,23.03,27.13,22.64,23.17,27.01,22.11,28.40,,
Calc annual,24.24,30.51,27.66,23.03,27.13,22.64,23.17,27.01,22.11,28.40,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
