"MERTHYR PENTREBACH HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,,,,12.21,,
February,,,,,,,,,,6.93,,
March,,,,,,,,,,2.18,,
April,,,,,,,,,,6.31,,
May,,,,,,,,,,5.31,,
June,,,,,,,,,,1.19,,
July,,,,,,,,,,1.53,,
August,,,,,,,,,,1.75,,
September,,,,,,,,,,4.52,,
October,,,,,,,,,,4.08,,
November,,,,,,,,,,5.86,,
December,,,,,,,,,,4.60,,
Total,,,,,,,,,,56.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
