"CHURCHSTOKE MELLINGTON HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,5.20,2.48,1.91,2.03,3.18,4.13,0.77,1.97,0.69,5.07,,
February,0.53,0.06,1.68,4.16,2.65,0.12,0.48,1.89,2.53,4.07,,
March,1.57,1.33,1.12,0.51,2.02,1.95,3.36,4.07,0.76,1.55,,
April,1.30,2.47,0.91,0.19,1.90,2.11,0.96,2.68,2.03,2.53,,
May,3.36,3.24,2.79,2.33,3.48,0.42,0.39,0.99,4.13,2.12,,
June,1.79,2.39,1.80,1.14,1.51,5.54,2.00,1.82,1.16,2.16,,
July,1.98,1.65,1.68,1.73,2.28,1.92,2.03,1.19,1.08,0.82,,
August,3.75,4.49,2.45,1.93,3.14,2.25,1.51,2.48,2.59,1.04,,
September,0.84,2.57,3.15,1.64,1.38,0.98,5.58,1.74,0.96,4.11,,
October,1.62,5.55,2.25,3.72,3.95,3.13,3.93,1.37,5.86,2.75,,
November,4.89,2.62,1.80,1.60,3.69,4.70,1.03,2.02,2.59,2.39,,
December,0.85,5.32,1.41,4.77,2.37,2.78,4.96,4.97,3.08,3.35,,
Total,27.68,34.17,22.95,25.75,31.55,30.03,27.00,27.19,27.46,31.96,,
Calc annual,27.68,34.17,22.95,25.75,31.55,30.03,27.00,27.19,27.46,31.96,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
