"GLENCORSE FILTERS EDINBURGH & DISTRICT WW",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5121,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,2.00,,,,,,,,,,
February,,0.55,,,,,,,,,,
March,,3.50,,,,,,,,,,
April,,0.70,,,,,,,,,,
May,,2.25,,,,,,,,,,
June,,0.80,,,,,,,,,,
July,,3.20,,,,,,,,,,
August,,5.90,,,,,,,,,,
September,,6.33,,,,,,,,,,
October,,2.90,,,,,,,,,,
November,,1.95,,,,,,,,,,
December,,5.62,,,,,,,,,,
Total,,35.70,,,,,,,,,,
Calc annual,0.00,35.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
