"BUXTED STRAWBERRY HALL",,,,,,,,,,,,
Grid ref,TQ4763824091,Long,0.102556,Lat,50.997280,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.81,1.02,1.42,2.41,4.41,1.43,4.86,1.42,1.96,1.09,,
February,5.39,1.60,1.67,1.59,3.04,0.88,2.74,1.56,1.37,0.69,,
March,1.01,2.35,1.49,2.88,0.93,4.25,1.90,1.06,3.03,4.57,,
April,1.05,2.47,1.01,2.25,1.01,2.24,1.41,3.29,2.41,1.72,,
May,0.87,1.42,2.39,2.31,2.67,0.98,2.73,1.94,1.54,1.32,,
June,3.20,0.86,3.86,3.12,1.80,4.46,2.41,1.98,1.48,2.87,,
July,0.86,2.05,1.34,3.29,1.24,1.04,0.76,1.58,3.88,3.73,,
August,1.50,1.47,5.28,4.19,1.09,3.28,1.68,1.73,5.45,2.49,,
September,1.03,1.17,0.50,2.39,2.01,2.54,1.62,0.83,1.69,3.54,,
October,2.42,2.36,2.14,7.45,2.48,1.94,5.00,5.52,1.65,7.29,,
November,4.13,0.65,2.67,2.05,1.33,5.91,7.38,2.67,1.21,1.98,,
December,3.96,4.94,2.30,3.11,3.31,0.69,2.06,3.43,3.57,5.20,,
Total,29.23,22.36,26.07,37.04,25.32,29.64,34.55,27.01,29.24,36.49,,
Calc annual,29.23,22.36,26.07,37.04,25.32,29.64,34.55,27.01,29.24,36.49,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
