"STAMFORD HILL",,,,,,,,,,,,
Grid ref,TQ335875,Long,-0.075115,Lat,51.570573,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.88,0.51,0.80,,,,,,,,,
February,3.64,1.16,1.31,,,,,,,,,
March,0.71,2.31,1.97,,,,,,,,,
April,0.83,2.48,0.48,,,,,,,,,
May,0.97,1.15,2.59,,,,,,,,,
June,2.20,1.19,3.05,,,,,,,,,
July,1.49,3.48,1.26,,,,,,,,,
August,2.67,2.36,,,,,,,,,,
September,0.78,1.98,,,,,,,,,,
October,1.88,2.39,,,,,,,,,,
November,2.06,0.57,,,,,,,,,,
December,2.84,2.96,,,,,,,,,,
Total,22.95,22.54,,,,,,,,,,
Calc annual,22.95,22.54,11.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
