"ROCKINGHAM CASTLE",,,,,,,,,,,,
Grid ref,TF079041,Long,-0.407443,Lat,52.623950,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.69,1.19,0.90,2.26,2.58,1.04,,,,0.81,,
February,5.19,1.74,2.27,0.95,3.07,0.51,,,1.36,0.63,,
March,0.87,2.49,1.10,3.07,1.90,3.02,,,2.59,2.73,,
April,1.22,2.58,1.65,1.99,1.42,1.70,,,2.35,1.28,,
May,1.53,1.88,2.30,2.98,1.45,0.83,,,1.01,0.62,,
June,1.91,2.68,2.44,2.53,0.84,2.31,,,0.78,2.94,,
July,3.31,3.01,1.31,2.82,2.63,0.61,0.32,,0.97,3.29,,
August,4.21,1.31,3.53,4.04,3.66,,0.64,,2.76,2.49,,
September,0.67,1.36,3.57,3.38,2.01,,1.58,,0.54,2.45,,
October,1.85,2.45,2.18,7.20,0.77,,4.68,,1.42,3.16,,
November,2.77,1.00,2.10,1.83,1.22,,4.37,,0.50,0.70,,
December,4.71,4.37,1.26,1.25,1.66,,2.45,,1.48,2.24,,
Total,31.93,26.06,24.61,34.30,23.21,,,,,23.44,,
Calc annual,31.93,26.06,24.61,34.30,23.21,10.02,14.04,0.00,15.76,23.34,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,0.10,,
