"BURY GIN HALL",,,,,,,,,,,,
Grid ref,SD804141,Long,-2.297806,Lat,53.623066,,,,,,,
Station no,2866,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.19,3.49,3.48,3.81,4.06,2.37,6.67,2.49,4.59,2.86,,
February,4.02,1.82,2.07,4.75,4.53,2.95,4.76,2.85,4.35,2.97,,
March,0.69,2.59,2.81,4.98,2.91,4.22,3.99,4.21,3.91,3.40,,
April,3.02,2.71,2.76,2.92,2.86,3.94,2.41,2.08,2.94,4.01,,
May,2.25,1.33,3.35,4.02,2.77,0.65,4.37,4.67,3.08,2.81,,
June,3.66,2.38,1.73,1.88,1.50,3.58,2.28,8.16,2.16,2.57,,
July,2.81,1.50,3.37,3.82,1.81,2.74,1.96,3.03,5.32,6.80,,
August,6.16,2.97,4.68,6.14,4.95,5.00,5.52,5.08,3.99,3.25,,
September,1.67,1.80,2.05,5.44,1.65,2.85,1.72,1.45,4.56,3.27,,
October,5.91,3.03,5.12,8.95,2.96,4.07,7.00,4.59,2.41,6.59,,
November,4.07,6.20,2.73,4.17,4.48,4.94,4.60,3.97,3.49,1.97,,
December,5.99,3.73,3.83,2.36,3.53,1.03,6.21,4.56,3.52,8.37,,
Total,47.44,33.55,37.98,53.24,38.01,38.34,51.49,47.14,44.32,48.87,,
Calc annual,47.44,33.55,37.98,53.24,38.01,38.34,51.49,47.14,44.32,48.87,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
