"CHURCHSTOKE MELLINGTON HALL",,,,,,,,,,,,
Grid ref,SO258920,Long,-3.094988,Lat,52.520806,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.75,2.40,1.75,,,,,,,,,
February,3.89,0.96,0.75,,,,,,,,,
March,1.15,4.53,1.61,,,,,,,,,
April,1.52,2.56,2.17,,,,,,,,,
May,2.81,1.32,4.00,,,,,,,,,
June,2.22,2.47,2.37,,,,,,,,,
July,2.05,4.35,2.33,,,,,,,,,
August,3.94,1.66,3.62,,,,,,,,,
September,0.59,1.37,2.36,,,,,,,,,
October,3.97,2.75,2.82,,,,,,,,,
November,2.85,2.06,2.50,,,,,,,,,
December,4.04,4.33,2.90,,,,,,,,,
Total,32.78,30.76,29.18,,,,,,,,,
Calc annual,32.78,30.76,29.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
