"SNOWDON CRIB GOCH NO 8",,,,,,,,,,,,
Grid ref,SH623550,Long,-4.056894,Lat,53.074428,,,,,,,
Station no,4397,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,15.53,11.20,,
February,,,,,,,,,13.85,,,
March,,,,,,,,,15.00,-999.00,,
April,,,,,,,,,6.23,10.73,,
May,,,,,,,,,14.94,6.10,,
June,,,,,,,,,9.68,5.49,,
July,,,,,,,,,13.98,18.24,,
August,,,,,,,,,13.33,10.07,,
September,,,,,,,,,19.02,15.28,,
October,,,,,,,,,6.28,33.60,,
November,,,,,,,,,19.26,11.37,,
December,,,,,,,,,16.68,25.75,,
Total,,,,,,,,,163.78,167.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.78,147.83,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,19.20,,
