"LLANGADWALADR BODORGAN",,,,,,,,,,,,
Grid ref,SH386674,Long,-4.416588,Lat,53.179154,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.06,1.62,2.39,5.37,4.61,2.12,4.77,2.00,3.97,2.54,,
February,3.74,1.42,1.32,2.67,3.52,1.21,4.42,1.91,2.75,0.66,,
March,0.80,3.16,2.50,6.26,2.80,4.19,2.81,2.37,3.70,3.23,,
April,1.61,1.95,1.37,1.70,2.26,2.60,1.55,2.18,2.91,2.78,,
May,2.53,0.77,3.76,2.31,1.27,1.13,3.90,2.54,2.48,1.35,,
June,1.49,2.11,3.70,1.53,1.99,2.42,1.95,4.68,3.34,0.75,,
July,1.85,1.02,1.73,2.97,3.23,1.74,1.33,2.09,3.77,4.32,,
August,5.72,4.35,2.77,3.76,3.25,4.35,5.85,3.82,4.66,1.77,,
September,1.42,2.31,1.96,5.29,2.69,2.19,1.14,0.85,4.23,3.48,,
October,4.48,5.05,4.20,7.44,2.07,3.75,6.65,8.65,2.04,7.50,,
November,3.91,5.03,3.07,4.06,3.15,4.85,2.53,4.62,3.86,2.30,,
December,5.57,4.92,3.95,4.68,4.14,1.28,5.30,4.07,3.46,5.24,,
Total,37.18,33.71,32.72,48.04,34.98,31.83,42.20,39.78,41.17,35.92,,
Calc annual,37.18,33.71,32.72,48.04,34.98,31.83,42.20,39.78,41.17,35.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
