"BROADFORD, HURDLESTOWN",,,,,,,,,,,,
Grid ref,IR5720772431,Long,-8.635278,Lat,52.801444,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.65,2.98,3.42,4.67,3.90,2.56,5.36,1.44,2.86,3.33,,
February,3.31,0.96,2.37,2.71,4.89,1.84,2.87,2.21,1.95,1.61,,
March,0.60,2.93,3.01,5.26,2.51,5.03,2.26,2.74,3.48,2.90,,
April,2.04,2.58,2.00,1.84,2.09,2.48,1.41,3.40,1.95,5.66,,
May,2.37,1.32,2.26,3.77,3.00,1.32,3.55,2.66,3.36,1.92,,
June,5.26,2.50,1.40,1.33,2.01,2.09,2.51,3.65,2.19,3.22,,
July,2.13,1.33,1.77,4.59,4.11,1.97,3.43,2.51,3.81,3.50,,
August,6.69,3.66,1.61,5.21,4.24,4.27,3.46,3.50,5.31,1.30,,
September,1.41,5.97,2.19,3.77,2.97,2.16,1.35,1.73,6.20,3.21,,
October,5.35,3.08,1.87,5.73,3.15,1.93,5.43,4.87,1.95,6.69,,
November,4.88,3.40,4.90,2.44,2.51,2.95,1.58,4.34,3.06,2.12,,
December,4.76,3.15,2.62,5.28,3.36,1.85,3.29,4.42,5.62,4.60,,
Total,43.45,33.86,29.42,46.60,38.74,30.45,36.50,37.47,41.74,40.06,,
Calc annual,43.45,33.86,29.42,46.60,38.74,30.45,36.50,37.47,41.74,40.06,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
