"KILKENNY CASTLE",,,,,,,,,,,,
Grid ref,IS5084955717,Long,-7.249306,Lat,52.650556,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.35,3.63,2.16,5.26,4.12,2.50,3.80,0.98,1.94,1.77,,
February,2.81,1.51,2.67,2.92,4.51,0.88,2.23,1.73,1.60,0.76,,
March,0.80,2.13,2.20,4.64,2.54,3.95,2.06,1.24,3.42,2.73,,
April,2.07,2.13,2.64,1.87,1.25,3.09,1.41,2.31,2.05,4.62,,
May,2.45,1.90,1.47,2.33,3.16,1.03,2.60,3.31,1.89,2.11,,
June,4.49,2.19,2.19,4.17,1.25,1.60,1.68,3.55,2.09,2.67,,
July,2.90,0.95,2.33,4.26,2.82,1.41,2.16,3.13,2.72,1.79,,
August,4.56,2.97,3.15,4.47,3.75,4.38,1.85,2.64,3.58,0.48,,
September,1.12,4.45,3.53,2.95,3.36,1.19,1.00,1.44,4.61,2.35,,
October,3.77,2.80,2.78,4.34,1.19,0.68,5.73,4.80,2.84,6.30,,
November,6.11,2.30,5.17,1.70,1.72,2.66,1.32,3.85,2.48,1.33,,
December,3.79,3.32,2.82,3.04,1.85,1.58,2.86,3.38,4.30,3.14,,
Total,39.22,30.28,33.11,41.95,31.52,24.95,28.70,32.36,33.52,30.05,,
Calc annual,39.22,30.28,33.11,41.95,31.52,24.95,28.70,32.36,33.52,30.05,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
