"WAREHAM WORGATE HILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.37,1.65,5.78,5.50,,,,,,,,
February,4.08,1.42,3.17,1.69,,,,,,,,
March,0.65,2.39,5.07,2.72,,,,,,,,
April,2.26,1.75,0.05,3.27,,,,,,,,
May,1.05,0.84,1.54,2.59,,,,,,,,
June,4.28,1.62,2.68,0.34,,,,,,,,
July,2.61,0.31,3.33,0.84,,,,,,,,
August,1.89,0.86,6.20,2.09,,,,,,,,
September,0.28,1.25,2.54,3.00,,,,,,,,
October,6.71,4.90,3.52,4.75,,,,,,,,
November,3.75,4.24,2.00,3.45,,,,,,,,
December,4.87,7.59,4.01,2.12,,,,,,,,
Total,35.80,28.82,39.89,32.36,,,,,,,,
Calc annual,35.80,28.82,39.89,32.36,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
