"CAMELFORD STANNON CLAY WORKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1893,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,7.37,3.31,5.81,8.20,2.68,6.86,2.84,2.88,6.19,9.08,,
February,8.25,4.23,5.08,1.91,6.38,11.00,8.40,2.41,5.18,4.87,,
March,1.60,4.52,7.95,7.00,10.94,1.49,1.64,4.32,2.49,5.90,,
April,4.17,4.31,0.95,5.55,3.19,2.22,1.90,1.57,3.36,3.27,,
May,4.22,1.87,2.59,4.12,2.03,2.65,2.34,2.68,1.56,2.53,,
June,2.36,4.85,9.54,3.11,3.67,4.31,3.97,5.04,2.22,1.50,,
July,4.64,1.60,3.94,0.97,6.48,6.04,1.83,2.72,5.27,1.76,,
August,5.16,2.61,12.69,1.21,3.27,2.74,4.53,7.14,4.96,4.25,,
September,0.33,3.15,1.57,2.95,4.31,2.86,3.15,3.19,10.39,3.64,,
October,8.23,5.62,6.20,7.67,4.53,6.18,8.25,9.26,4.61,2.38,,
November,8.47,6.12,5.74,8.13,5.30,4.29,9.28,4.34,5.54,4.73,,
December,11.20,12.98,8.10,5.61,12.02,11.13,5.41,2.17,9.96,10.46,,
Total,66.00,55.17,70.16,56.43,64.80,61.77,53.54,47.72,61.73,54.37,,
Calc annual,66.00,55.17,70.16,56.43,64.80,61.77,53.54,47.72,61.73,54.37,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,,
