"PENZANCE ST CLARE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.65,,,,,,,,,,,
February,5.34,,,,,,,,,,,
March,0.87,,,,,,,,,,,
April,3.40,,,,,,,,,,,
May,2.97,,,,,,,,,,,
June,2.63,,,,,,,,,,,
July,3.06,,,,,,,,,,,
August,3.66,,,,,,,,,,,
September,0.47,,,,,,,,,,,
October,6.17,,,,,,,,,,,
November,7.69,,,,,,,,,,,
December,6.03,,,,,,,,,,,
Total,46.94,,,,,,,,,,,
Calc annual,46.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
