"FROME MELLS PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.10,1.82,4.51,4.50,1.12,4.45,1.86,,,,,
February,6.53,3.33,2.86,1.34,4.64,6.36,5.32,,,,,
March,,,6.74,,5.92,1.04,4.72,,,,,
April,3.20,5.87,0.19,,1.96,0.75,1.00,,,,,
May,2.41,1.33,1.60,2.56,1.46,4.01,2.53,,,,,
June,5.00,3.12,3.70,0.99,1.79,0.39,2.85,,,,,
July,2.36,0.00,3.01,0.31,3.76,4.38,1.31,,,,,
August,4.46,2.57,8.19,1.03,2.99,3.14,6.57,,,,,
September,0.24,1.33,0.82,2.51,1.81,1.65,2.19,,,,,
October,5.46,3.98,5.29,2.72,3.11,3.31,6.78,,,,,
November,5.26,5.20,2.29,2.88,4.37,2.42,5.16,,,,,
December,7.41,9.29,6.36,2.25,7.90,7.59,4.09,,,,,
Total,46.43,37.84,45.56,27.05,40.83,39.49,44.38,,,,,
Calc annual,46.43,37.84,45.56,21.09,40.83,39.49,44.38,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,5.96,0.00,0.00,-0.00,NaN,NaN,NaN,,
