"PENSFORD NORTON COURT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,1.41,4.36,5.72,1.39,5.98,,,,,,
February,,2.61,2.24,1.10,3.20,5.27,,,,,,
March,,2.93,5.13,4.48,5.15,1.13,,,,,,
April,,2.04,0.27,3.29,1.87,1.65,,,,,,
May,,1.05,2.30,2.73,1.60,3.48,,,,,,
June,,2.09,4.46,1.16,2.60,0.81,,,,,,
July,,0.71,3.94,0.68,4.33,5.25,,,,,,
August,,1.44,7.25,1.65,3.08,4.26,,,,,,
September,,1.70,0.74,3.41,2.11,,,,,,,
October,,3.06,5.10,3.11,2.49,,,,,,,
November,,4.55,2.53,3.53,4.64,,,,,,,
December,,8.21,5.77,2.81,7.32,,,,,,,
Total,,31.80,44.09,33.67,39.78,,,,,,,
Calc annual,0.00,31.80,44.09,33.67,39.78,27.83,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
