"BARROW (WALNEY IS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,1.67,3.77,,,
February,,,,,,,,1.14,3.40,,,
March,,,,,,,,2.30,1.39,,,
April,,,,,,,,1.02,1.18,,,
May,,,,,,,,3.37,2.64,,,
June,,,,,,,,2.48,1.92,,,
July,,,,,,,,1.16,4.39,,,
August,,,,,,,,7.41,3.97,,,
September,,,,,,,,2.92,6.90,,,
October,,,,,,,,9.26,3.26,,,
November,,,,,,,,3.86,2.39,,,
December,,,,,,,,2.20,7.11,,,
Total,,,,,,,,38.79,42.32,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.79,42.32,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
