"HALIFAX DEAN CLOUGH MILLS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,4.48,2.34,,,,,,,
February,,,,1.65,3.21,,,,,,,
March,,,,5.78,4.38,,,,,,,
April,,,,4.52,1.34,,,,,,,
May,,,,3.41,1.28,,,,,,,
June,,,,1.93,2.83,,,,,,,
July,,,,0.92,3.74,,,,,,,
August,,,,1.33,,,,,,,,
September,,,,1.76,,,,,,,,
October,,,,1.87,2.26,,,,,,,
November,,,,3.91,5.66,,,,,,,
December,,,,3.34,7.42,,,,,,,
Total,,,,34.90,,,,,,,,
Calc annual,0.00,0.00,0.00,34.90,34.46,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
