"DERWENT DALE HOWDEN HO NO 19",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.29,2.02,5.52,4.21,3.09,6.34,2.79,4.69,4.05,5.04,,
February,4.95,5.98,2.10,1.43,2.99,6.19,7.76,0.84,4.09,3.53,,
March,0.99,2.80,4.88,4.63,4.84,1.84,6.45,2.84,1.96,6.73,,
April,4.55,3.61,1.24,3.48,2.12,1.70,3.92,2.38,1.38,-999.00,,
May,3.62,1.05,3.63,2.84,2.62,1.56,2.27,2.00,4.12,1.78,,
June,3.14,3.57,3.64,1.50,4.34,1.15,4.03,1.92,2.59,1.80,,
July,4.40,0.48,6.52,0.99,3.46,6.04,2.71,1.81,3.85,3.70,,
August,5.84,2.60,8.04,1.41,2.64,3.29,1.79,8.04,2.59,3.83,,
September,0.45,2.70,3.23,3.21,3.15,0.56,2.15,1.65,10.09,2.54,,
October,3.10,3.84,3.96,5.05,4.18,3.17,5.79,6.52,2.82,5.24,,
November,6.07,6.48,3.28,3.96,6.26,4.68,5.02,5.82,1.74,4.10,,
December,8.47,7.22,6.00,3.05,8.25,8.62,3.92,3.06,6.65,7.24,,
Total,49.87,42.35,52.04,35.76,47.94,45.14,48.60,41.55,45.93,48.35,,
Calc annual,49.87,42.35,52.04,35.76,47.94,45.14,48.60,41.57,45.93,45.53,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.02,0.00,2.82,,
