"MONIAIVE, GLENCROSH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5030,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.71,2.92,5.91,6.35,3.95,4.59,7.52,2.97,7.52,5.50,,
February,8.39,6.38,3.85,3.60,8.99,11.36,5.24,1.71,6.29,1.11,,
March,4.27,1.34,6.92,5.44,8.05,2.22,1.70,3.50,1.80,4.77,,
April,3.99,5.03,1.04,5.21,2.81,3.56,3.72,2.36,0.66,2.72,,
May,2.76,3.41,1.75,5.70,2.67,1.35,4.38,3.36,2.96,1.10,,
June,1.65,2.87,5.78,3.14,0.67,1.96,1.80,3.01,1.38,2.42,,
July,6.11,2.32,3.37,0.85,4.25,5.00,4.55,1.57,4.13,1.09,,
August,8.25,3.29,4.85,2.01,4.68,2.44,3.12,7.91,4.13,3.52,,
September,1.34,2.30,2.17,3.28,2.19,1.70,1.94,4.78,6.46,3.95,,
October,3.57,5.06,4.35,4.74,2.88,4.50,9.19,9.04,8.36,1.87,,
November,4.47,6.08,4.30,6.16,6.97,3.73,5.66,6.45,7.75,4.04,,
December,7.60,11.49,9.61,4.45,8.44,7.83,6.09,3.40,6.82,10.16,,
Total,57.11,52.49,53.90,50.93,56.55,50.24,54.91,50.06,58.26,42.25,,
Calc annual,57.11,52.49,53.90,50.93,56.55,50.24,54.91,50.06,58.26,42.25,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
