"QUARTER HILL, EDINBURGH W.W. NO. 7",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5072,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.53,3.32,4.44,5.33,3.85,2.91,8.27,2.20,4.73,3.98,,
February,7.98,5.91,4.03,3.51,7.77,7.70,4.61,0.75,6.73,0.52,,
March,5.84,1.77,5.26,5.76,5.68,1.39,2.01,1.80,1.37,3.15,,
April,4.53,5.44,1.02,6.84,3.18,2.99,4.24,1.13,0.76,5.34,,
May,2.06,4.56,1.37,4.48,2.40,1.11,4.05,2.43,2.94,1.04,,
June,1.82,3.44,5.02,3.28,1.64,2.17,3.24,2.56,1.91,2.95,,
July,5.40,1.90,3.06,0.98,2.66,5.27,6.03,1.70,3.06,1.08,,
August,6.70,2.72,4.07,1.83,3.31,2.93,4.52,7.45,3.12,2.83,,
September,1.20,1.95,3.10,2.36,2.14,1.58,2.64,4.43,7.13,3.70,,
October,3.92,4.02,4.00,4.29,2.06,1.98,8.35,6.84,7.10,2.46,,
November,2.94,7.51,4.14,5.60,7.09,2.14,7.09,5.82,5.90,4.05,,
December,6.46,10.78,9.68,4.08,10.25,7.86,4.18,1.95,3.90,8.45,,
Total,52.38,53.32,49.19,48.34,52.03,40.03,59.23,39.06,48.65,39.55,,
Calc annual,52.38,53.32,49.19,48.34,52.03,40.03,59.23,39.06,48.65,39.55,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
