"STRACHAN, BRIDGE OF DYE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5621,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.67,2.44,6.55,7.96,1.42,4.83,2.08,2.70,3.41,4.97,,
February,4.70,1.26,4.54,1.68,5.96,9.84,4.41,1.67,2.86,2.79,,
March,3.63,3.04,3.84,7.14,6.15,2.13,4.36,2.73,1.94,3.12,,
April,5.04,2.01,0.88,4.45,1.21,1.01,4.58,1.41,0.72,4.68,,
May,2.23,2.88,1.89,7.60,2.54,1.33,4.67,2.44,3.50,1.42,,
June,1.15,3.10,2.61,2.93,0.89,0.74,4.75,1.96,1.30,1.03,,
July,2.32,2.05,2.14,1.04,3.06,4.95,5.96,2.23,5.50,0.88,,
August,5.71,1.35,6.51,2.37,1.73,2.45,4.31,5.84,2.20,3.01,,
September,1.09,1.27,3.84,5.34,1.34,2.66,1.45,1.79,4.71,1.82,,
October,2.58,2.69,7.22,2.48,5.31,9.55,7.18,3.95,3.45,3.46,,
November,5.83,6.64,3.60,2.05,4.95,3.91,6.73,3.79,3.53,6.47,,
December,6.89,8.58,2.91,1.90,11.32,12.85,6.96,1.24,2.80,7.60,,
Total,43.84,37.31,46.53,46.94,45.88,56.25,57.44,31.75,35.92,41.25,,
Calc annual,43.84,37.31,46.53,46.94,45.88,56.25,57.44,31.75,35.92,41.25,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
