"NONINGTON (LYNTON)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,291,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,3.25,
February,,,,,,,,,,,1.90,
March,,,,,,,,,,,2.23,
April,,,,,,,,,,,1.82,
May,,,,,,,,,,,3.66,
June,,,,,,,,,,,0.90,
July,,,,,,,,,,,3.66,
August,,,,,,,,,,,2.90,
September,,,,,,,,,,,3.83,
October,,,,,,,,,,,1.31,
November,,,,,,,,,,,5.64,
December,,,,,,,,,,,2.81,
Total,,,,,,,,,,,33.91,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.91,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
