"RINGWOOD CROW HILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,624,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,5.47,2.62,5.96,1.37,4.57,
February,,,,,,,2.11,3.94,2.35,1.13,0.68,
March,,,,,,,0.26,3.79,2.59,0.22,1.22,
April,,,,,,,3.02,2.11,1.88,1.03,2.65,
May,,,,,,,2.66,0.81,1.47,2.29,2.72,
June,,,,,,,3.46,2.48,2.43,1.24,0.61,
July,,,,,,,1.16,3.03,1.41,1.20,1.82,
August,,,,,,,0.78,4.03,2.55,1.64,4.06,
September,,,,,,,0.86,5.72,2.09,0.45,3.79,
October,,,,,,,2.87,2.45,6.78,4.08,2.50,
November,,,,,,,10.41,3.81,3.20,9.84,5.52,
December,,,,,,,-999.00,4.61,2.38,7.69,4.31,
Total,,,,,,,33.79,39.40,35.09,32.18,34.45,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.06,39.40,35.09,32.18,34.45,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.73,0.00,-0.00,0.00,0.00,
