"YATTENDON COURT APIARY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,810,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,4.31,1.12,3.49,
February,,,,,,,,,1.95,0.71,0.71,
March,,,,,,,,,2.75,0.05,0.89,
April,,,,,,,,,1.40,1.09,2.32,
May,,,,,,,,,1.65,1.14,1.83,
June,,,,,,,,,2.47,1.25,1.15,
July,,,,,,,,,2.40,1.25,2.41,
August,,,,,,,,,1.51,0.70,2.46,
September,,,,,,,,,1.43,0.50,3.12,
October,,,,,,,,,5.13,2.89,1.25,
November,,,,,,,,,1.70,7.13,4.50,
December,,,,,,,,4.64,1.95,5.91,3.18,
Total,,,,,,,,,28.65,23.74,27.31,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.64,28.65,23.74,27.31,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,
