"STRETHAM (ORCHARD HOUSE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1215,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.46,1.56,2.02,1.39,2.27,0.92,1.90,1.78,3.18,1.43,1.50,
February,0.58,0.43,1.12,2.31,0.83,1.84,1.56,2.32,1.24,0.35,0.48,
March,1.36,0.79,1.62,1.64,0.72,0.95,0.32,1.25,0.99,0.03,1.23,
April,2.51,1.49,2.43,0.97,2.85,1.39,2.15,1.63,0.88,0.83,1.84,
May,1.45,1.01,1.35,0.61,3.07,1.82,1.48,0.47,2.11,1.26,3.54,
June,1.13,0.40,1.12,0.48,2.11,0.33,2.06,2.33,2.14,0.79,0.51,
July,3.15,0.23,3.27,1.70,2.27,1.56,2.70,2.27,1.91,1.16,3.54,
August,1.22,0.75,2.54,2.69,2.00,1.83,1.33,2.13,1.29,0.57,2.10,
September,1.75,1.12,2.25,2.24,2.02,2.81,2.24,3.43,0.98,0.47,4.05,
October,0.50,1.10,0.26,3.57,3.39,2.74,2.07,1.94,2.57,2.42,0.79,
November,0.58,1.47,1.12,1.41,2.41,1.27,3.16,2.13,1.48,3.70,3.61,
December,1.40,1.18,1.57,1.74,2.75,1.42,0.53,2.00,1.73,2.87,1.98,
Total,17.09,11.53,20.67,20.75,26.69,18.88,21.50,23.68,20.50,15.88,25.17,
Calc annual,17.09,11.53,20.67,20.75,26.69,18.88,21.50,23.68,20.50,15.88,25.17,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,
