"SWAFFHAM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1467,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.59,2.99,3.46,2.49,2.29,0.98,3.37,2.34,4.98,2.28,1.61,
February,0.99,0.54,3.66,3.76,1.69,2.98,2.33,2.39,1.41,0.47,0.61,
March,1.50,1.43,2.51,1.84,0.80,2.07,0.43,2.25,1.58,0.24,1.56,
April,3.52,2.04,2.43,1.09,2.31,2.27,2.44,1.86,1.54,0.87,2.58,
May,2.19,1.26,0.87,2.27,2.91,3.14,2.82,1.27,2.05,1.71,3.47,
June,2.41,0.45,1.65,0.92,1.71,0.96,2.93,6.29,3.20,1.18,1.90,
July,4.06,1.83,5.51,3.62,2.15,1.74,1.57,3.38,2.25,2.99,6.18,
August,1.75,1.71,2.97,3.02,3.11,2.90,1.53,3.45,2.02,1.22,2.58,
September,2.42,1.36,4.58,2.46,2.98,3.86,1.25,3.57,0.51,0.45,4.46,
October,0.74,1.97,0.96,3.98,4.44,2.47,2.30,2.56,3.35,3.62,0.35,
November,0.98,1.78,2.15,2.78,2.24,2.87,4.26,3.72,2.29,4.89,3.36,
December,2.74,2.17,2.96,4.24,2.65,2.71,1.16,2.32,2.52,3.90,1.97,
Total,25.89,19.53,33.71,32.47,29.28,28.95,26.39,35.40,27.70,23.82,30.63,
Calc annual,25.89,19.53,33.71,32.47,29.28,28.95,26.39,35.40,27.70,23.82,30.63,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,
