"STYTHYANS TREVALES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1916/3,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,7.28,,,5.72,9.01,9.40,,,,
February,,,5.36,,1.20,7.14,3.64,3.51,,,,
March,,,4.13,,2.63,1.04,1.32,5.25,,,,
April,,,4.94,,4.76,3.93,3.51,3.17,,,,
May,,,1.76,,4.61,5.00,2.77,1.04,,,,
June,,,1.41,,1.97,0.00,3.17,3.71,,,,
July,,2.68,5.44,,6.31,5.17,2.41,3.39,,,,
August,,4.14,4.64,,4.11,4.44,4.17,3.00,,,,
September,,0.99,3.88,,5.72,4.60,1.34,7.83,,,,
October,,2.38,1.90,,11.51,5.27,4.16,3.52,,,,
November,,5.85,3.16,,5.11,4.06,9.08,5.54,,,,
December,,3.54,8.82,,9.60,7.14,1.55,5.02,,,,
Total,,,52.72,,,53.51,46.13,54.38,,,,
Calc annual,0.00,19.58,52.72,0.00,57.53,53.51,46.13,54.38,0.00,0.00,0.00,
Difference,NaN,NaN,-0.00,NaN,NaN,-0.00,0.00,0.00,NaN,NaN,NaN,
