"AMBLESIDE WANSFELL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3698,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,11.60,14.80,9.47,6.83,8.45,9.29,10.83,9.58,19.43,3.34,12.46,
February,9.32,0.22,7.46,10.05,1.27,8.83,10.46,5.21,8.90,2.31,0.58,
March,9.02,10.37,4.81,2.56,2.43,2.20,4.78,6.89,7.36,1.43,3.82,
April,7.01,1.84,3.41,4.92,3.82,6.59,3.53,3.88,3.20,2.81,2.74,
May,7.76,4.90,3.83,4.64,8.01,8.26,2.83,3.18,1.03,4.44,2.55,
June,3.63,0.33,3.24,1.83,4.97,0.22,3.88,4.85,8.13,3.17,2.67,
July,9.17,3.80,7.45,5.43,7.28,2.05,4.92,5.26,8.60,6.85,4.66,
August,3.95,8.94,6.14,11.29,6.06,5.46,6.37,7.06,8.42,8.25,10.28,
September,4.10,2.27,5.40,7.90,11.55,5.96,7.28,9.73,4.66,2.68,4.08,
October,3.17,3.86,2.98,13.92,8.11,9.11,6.25,8.07,14.74,9.22,13.08,
November,5.13,3.95,4.03,10.94,7.65,3.17,11.97,9.06,16.87,16.51,8.74,
December,7.71,12.95,10.82,8.25,16.00,6.62,2.10,2.17,7.19,14.21,8.62,
Total,81.57,68.23,69.04,88.56,85.60,67.76,75.20,74.94,108.53,75.22,74.28,
Calc annual,81.57,68.23,69.04,88.56,85.60,67.76,75.20,74.94,108.53,75.22,74.28,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
