"PRESTATYN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4285,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.14,4.32,
February,,,,,,,,,,1.02,0.27,
March,,,,,,,,,,0.29,4.03,
April,,,,,,,,,,1.11,3.62,
May,,,,,,,,,,1.26,1.20,
June,,,,,,,,,,1.24,1.07,
July,,,,,,,,,,2.23,3.22,
August,,,,,,,,,,2.73,3.49,
September,,,,,,,,,,1.61,2.04,
October,,,,,,,,,,3.51,4.46,
November,,,,,,,,,,4.89,3.86,
December,,,,,,,,,,4.78,3.93,
Total,,,,,,,,,,25.81,35.51,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.81,35.51,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,
