"CANONBIE (BYREBURNFOOT)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.50,8.75,4.13,,5.13,5.00,6.00,4.87,11.38,2.25,,
February,10.38,0.25,4.63,13.00,1.00,6.25,5.87,3.00,4.87,1.50,,
March,4.25,5.25,2.50,1.50,1.50,1.75,2.25,3.50,4.75,1.25,,
April,3.50,1.13,2.62,3.75,2.50,4.75,3.25,2.38,1.13,1.00,,
May,5.50,2.25,2.75,2.63,2.50,6.75,2.50,2.00,1.62,1.25,,
June,2.00,0.25,2.25,0.75,3.00,0.25,2.75,4.87,7.50,2.25,,
July,4.37,4.00,5.87,3.75,4.25,1.50,3.25,3.38,4.63,6.25,,
August,3.75,5.87,4.25,11.75,3.63,5.50,6.00,6.50,8.62,8.00,,
September,2.50,-999.00,2.75,5.75,4.37,3.25,6.25,7.50,2.75,1.00,,
October,1.00,-999.00,2.12,7.50,4.75,5.00,4.25,4.50,7.75,5.00,,
November,2.75,2.75,1.63,5.25,3.50,1.13,6.38,6.00,7.00,6.50,,
December,5.25,6.50,5.00,5.00,7.00,4.50,1.00,1.75,5.00,7.50,,
Total,51.75,43.75,40.50,60.63,46.13,45.63,49.75,50.25,67.00,43.75,,
Calc annual,51.75,37.00,40.50,60.63,43.13,45.63,49.75,50.25,67.00,43.75,0.00,
Difference,0.00,6.75,0.00,0.00,3.00,0.00,-0.00,0.00,0.00,0.00,NaN,
