"COUPAR ANGUS PUBLIC SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.12,3.11,4.39,2.03,2.47,2.66,4.81,,,,,
February,1.95,0.42,2.62,6.43,1.05,3.44,4.27,,,,,
March,2.98,2.46,1.73,1.49,0.65,1.29,0.96,,,,,
April,1.60,0.92,1.48,2.82,1.51,3.75,1.99,,,,,
May,2.99,1.82,1.38,1.22,4.79,3.51,2.19,,,,,
June,0.87,0.63,1.58,0.60,1.84,0.35,2.60,,,,,
July,1.83,2.18,2.62,1.89,4.53,2.83,2.79,,,,,
August,3.21,3.99,2.07,4.69,3.07,3.45,2.63,,,,,
September,1.47,1.95,1.78,2.78,3.24,3.20,4.03,,,,,
October,3.13,2.43,1.39,2.89,3.82,3.16,4.97,,,,,
November,2.35,2.42,1.58,2.16,2.12,0.88,6.49,,,,,
December,3.92,1.80,2.22,2.79,4.05,3.10,0.36,,,,,
Total,29.42,24.13,24.84,31.79,33.14,31.62,38.09,,,,,
Calc annual,29.42,24.13,24.84,31.79,33.14,31.62,38.09,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,
