"TUAMGRANEY, RAHEEN HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6064,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,5.98,5.97,8.69,6.18,6.03,1.80,7.01,
February,,,,,2.33,7.32,4.50,3.64,6.55,3.09,0.81,
March,,,,,1.43,0.89,2.26,5.13,4.45,0.95,4.79,
April,,,,,3.87,5.82,3.50,2.49,2.91,1.40,2.32,
May,,,,,4.13,6.20,3.43,1.75,1.14,2.32,2.44,
June,,,,,4.40,0.50,3.77,4.16,4.48,1.91,3.12,
July,,,,,3.89,3.27,5.73,3.13,2.91,4.03,4.22,
August,,,,,5.02,2.99,4.90,5.45,4.52,4.95,5.76,
September,,,,,8.25,2.06,2.42,5.12,2.18,1.18,3.70,
October,,,,,4.57,4.84,3.62,3.28,8.66,5.07,6.69,
November,,,,,5.59,2.80,6.21,3.06,7.10,5.72,4.82,
December,,,,,9.75,4.15,1.04,4.66,5.40,8.55,4.73,
Total,,,,,59.21,46.81,50.07,48.05,56.33,40.97,50.41,
Calc annual,0.00,0.00,0.00,0.00,59.21,46.81,50.07,48.05,56.33,40.97,50.41,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
