"BATTLE (CALDBEC)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,552/9,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,3.11,1.22,5.87,,,,,,
February,,,,0.11,4.73,2.32,,,,,,
March,,,,2.94,0.40,1.48,,,,,,
April,,,,2.04,3.96,2.05,,,,,,
May,,,,0.48,1.64,0.27,,,,,,
June,,,,1.99,2.00,3.11,,,,,,
July,,,,0.76,0.81,4.73,,,,,,
August,,,,2.66,4.98,1.59,,,,,,
September,,,,1.96,5.45,2.55,,,,,,
October,,,,2.87,4.69,1.61,,,,,,
November,,,,3.62,7.63,5.12,,,,,,
December,,,,10.16,4.67,3.18,,,,,,
Total,,,,32.70,42.18,33.88,,,,,,
Calc annual,0.00,0.00,0.00,32.70,42.18,33.88,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
