"LYME REGIS (THE COBB)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1590/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,3.37,,,,
February,,,,,,,,1.07,,,,
March,,,,,,,,0.21,,,,
April,,,,,,,,0.06,,,,
May,,,,,,,,2.23,,,,
June,,,,,,,,1.41,,,,
July,,,,,,,,4.23,,,,
August,,,,,,,1.38,3.53,,,,
September,,,,,,,3.11,2.26,,,,
October,,,,,,,,4.07,,,,
November,,,,,,,3.14,6.40,,,,
December,,,,,,,4.04,4.50,,,,
Total,,,,,,,,33.34,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,11.67,33.34,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
