"BURBAGE (BADGER HOUSE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3111/8,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,2.64,3.65,2.41,3.87,5.57,4.23,7.17,3.36,,
February,,,6.00,0.38,5.34,3.18,6.57,1.55,2.29,3.07,,
March,,,3.13,3.26,1.70,3.06,3.73,0.82,3.15,2.59,,
April,,,1.31,3.19,3.40,2.27,2.63,0.40,2.56,2.81,,
May,,,2.04,1.66,0.47,1.53,3.77,2.83,2.23,1.15,,
June,,,2.23,1.49,3.54,4.27,1.49,2.80,2.83,0.98,,
July,,,3.26,2.88,1.20,4.66,3.39,4.03,6.05,2.90,,
August,,,0.63,2.00,1.97,1.73,1.73,1.92,3.21,0.79,,
September,,,1.83,2.38,5.20,3.82,1.50,2.89,2.32,2.00,,
October,,,6.40,3.88,7.60,4.66,3.78,5.82,5.26,4.77,,
November,,,2.41,2.76,6.86,4.17,2.53,5.46,5.54,8.54,,
December,,,0.81,6.87,5.06,3.54,3.83,4.50,1.98,3.70,,
Total,,,32.69,34.40,44.75,40.76,40.52,37.25,44.59,36.66,,
Calc annual,0.00,0.00,32.69,34.40,44.75,40.76,40.52,37.25,44.59,36.66,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
