"BLAIR GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5241,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,4.65,7.88,4.02,5.11,2.84,5.11,5.31,7.27,5.34,4.20,,
February,4.59,0.07,3.47,0.66,5.72,2.53,6.63,2.16,6.74,2.86,,
March,1.66,2.72,2.35,2.37,2.18,3.15,1.49,3.96,4.48,5.07,,
April,2.07,4.42,3.25,3.18,3.39,1.58,2.26,0.75,2.77,3.00,,
May,4.10,3.79,3.33,3.19,1.04,2.57,1.88,4.15,1.09,0.96,,
June,6.50,1.74,2.91,3.37,4.56,2.22,4.68,4.96,2.84,1.22,,
July,4.18,4.64,4.71,2.93,2.60,6.53,4.62,5.63,6.18,2.89,,
August,1.76,3.57,5.17,4.84,1.98,3.95,4.68,3.60,2.81,2.74,,
September,1.88,6.50,0.95,6.92,6.35,5.45,3.62,5.69,3.88,5.58,,
October,4.51,7.28,4.01,8.66,10.60,5.93,3.23,12.21,2.57,5.25,,
November,7.91,4.65,3.02,1.94,6.00,4.44,0.78,8.93,8.67,7.57,,
December,4.79,7.76,1.85,8.30,4.61,6.36,4.30,3.84,3.55,7.34,,
Total,48.60,55.02,39.04,51.47,51.87,49.82,43.48,63.15,50.92,48.68,,
Calc annual,48.60,55.02,39.04,51.47,51.87,49.82,43.48,63.15,50.92,48.68,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
