"BANBRIDGE (NEWRY ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6206/9,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,,5.18,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,2.57,,,,
June,,,,,,,,4.02,,,,
July,,,,,,,,4.74,,,,
August,,,,,,,,2.09,,,,
September,,,,,,,,2.63,,,,
October,,,,,,,,5.45,,,,
November,,,,,,,,4.31,,,,
December,,,,,,,,3.60,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.41,5.18,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
